# DAMPE e-+e+ flux measurements. From arXiv:1711.10981.
# Columns: bin low (GeV), bin high, bin center, flux (m^2 s sr GeV)^-1, stat err, syst err
24.0 27.5 25.7 1.16e-2 0.0e-2 0.03e-2
27.5 31.6 29.5 7.38e-3 0.02e-3 0.19e-3
31.6 36.3 33.9 4.76e-3 0.02e-3 0.13e-3
36.3 41.7 38.9 3.08e-3 0.01e-3 0.08e-3
41.7 47.9 44.6 2.0e-3 0.01e-3 0.05e-3
47.9 55.0 51.2 1.28e-3 0.01e-3 0.03e-3
55.0 63.1 58.8 8.32e-4 0.04e-4 0.21e-4
63.1 72.4 67.6 5.42e-4 0.03e-4 0.13e-4
72.4 83.2 77.6 3.54e-4 0.02e-4 0.09e-4
83.2 95.5 89.1 2.31e-4 0.01e-4 0.06e-4
95.5 109.7 102.2 1.52e-4 0.01e-4 0.04e-4
109.7 125.9 117.4 1.0e-4 0.01e-4 0.02e-4
125.9 144.5 134.8 6.49e-5 0.06e-5 0.16e-5
144.5 166.0 154.8 4.41e-5 0.04e-5 0.1e-5
166.0 190.6 177.7 2.78e-5 0.03e-5 0.07e-5
190.6 218.8 204.0 1.81e-5 0.03e-5 0.05e-5
218.8 251.2 234.2 1.20e-5 0.02e-5 0.03e-5
251.2 288.4 268.9 7.59e-6 0.14e-6 0.19e-6
288.4 331.1 308.8 4.81e-6 0.11e-6 0.12e-6
331.1 380.2 354.5 3.25e-6 0.08e-6 0.08e-6
380.2 436.5 407.1 2.21e-6 0.06e-6 0.05e-6
436.5 501.2 467.4 1.32e-6 0.05e-6 0.03e-6
501.2 575.4 536.6 8.49e-7 0.34e-7 0.21e-7
575.4 660.7 616.1 6.13e-7 0.27e-7 0.15e-7
660.7 758.6 707.4 3.92e-7 0.2e-7 0.1e-7
758.6 871.0 812.2 2.38e-7 0.15e-7 0.06e-7
871.0 1000.0 932.5 1.52e-7 0.11e-7 0.04e-7
1000.0 1148.2 1070.7 9.29e-8 0.82e-8 0.27e-8
1148.2 1318.3 1229.3 4.38e-8 0.53e-8 0.14e-8
1318.3 1513.6 1411.4 4.99e-8 0.53e-8 0.17e-8
1513.6 1737.8 1620.5 1.52e-8 0.28e-8 0.06e-8
1737.8 1995.3 1860.6 1.07e-8 0.22e-8 0.05e-8
1995.3 2290.9 2136.3 6.24e-9 1.61e-9 0.3e-9
2290.9 2630.3 2452.8 3.84e-9 1.2e-9 0.21e-9
2630.3 3019.9 2816.1 1.03e-9 0.63e-9 0.07e-9
3019.9 3467.4 3233.4 9.53e-10 5.64e-10 0.7e-10
3467.4 3981.1 3712.4 9.07e-10 5.12e-10 0.77e-10
3981.1 4570.9 4262.4 6.15e-10 4.02e-10 0.6e-10
